rule,good,bad,total,bad_rate,lift,depth
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt<=666.08 & CpnyIndustry>17.5 & PsonPayBase<=2252.25 & PsonMoPayAmt>363.39,18.0,50.0,68.0,0.7352941176470589,10.66803217478504,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType>182.5 & CpnyEcoType>245.0 & PsonPayBase<=1213.0 & PsonMoPayAmt>346.2,31.0,51.0,82.0,0.6219512195121951,9.02359404442793,8
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType>195.0 & PsonPayBase>6071.0 & CpnyIndustry>13.5 & PsonPayBase>9232.5,20.0,30.0,50.0,0.6,8.705114254624592,7
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt>337737.0 & PsonAcBalCurY<=1115.045,23.0,31.0,54.0,0.5740740740740741,8.328967342387728,6
PsonAcStatus<=1.5 & CpnyIndustry<=14.5 & CpnyEcoType>177.0 & CpnyEcoType<=195.0 & CpnyMoPayAmt>727.35 & PsonMoPayAmt<=861.57,22.0,29.0,51.0,0.5686274509803921,8.249944881833763,6
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate>237873600.0 & CpnyIndustry>17.5 & BirthDate<=508780800.0 & LoanBal<=133326.3438,41.0,52.0,93.0,0.5591397849462365,8.11229285377202,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType>145.5 & CpnyEcoType>245.0 & CpnyMoPayAmt<=1337.55 & PsonAcBalCurY>978.285 & BirthDate>285307200.0,42.0,52.0,94.0,0.5531914893617021,8.025991865965937,8
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType<=182.5 & CpnyMoPayAmt>666.08 & BirthDate>380001600.0 & LoanBal<=141410.0859 & BirthDate>474696000.0,31.0,35.0,66.0,0.5303030303030303,7.693914113935876,9
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt<=747.44 & LoanAmt<=316487.0 & CpnyEcoType>182.5 & CpnyEcoType<=245.0 & CpnyMoPayAmt<=635.4,32.0,31.0,63.0,0.49206349206349204,7.139114864903766,7
PsonAcStatus<=1.5 & CpnyIndustry>14.5 & CpnyMoPayAmt>747.44 & CpnyEcoType<=145.5 & LoanAmt<=337737.0 & BirthDate<=237873600.0 & PsonPayBase>9127.25 & CpnyIndustry>15.5,39.0,34.0,73.0,0.4657534246575342,6.757394626877537,8
